alert_type_id,utility_id,name,limit,updated_at,created_at
1,1,YELLOW_ALARM_LOAD,1,2020-01-01 00:05:00,2020-01-01 00:05:23
2,1,RED_ALARM_LOAD,3,2020-01-01 00:05:32,2020-01-01 00:05:35
3,1,YELLOW_ALARM_PRICE,3,2020-01-01 00:05:00,2020-01-01 00:05:23
4,1,RED_ALARM_PRICE,3,2020-01-01 00:05:00,2020-01-01 00:05:23
5,1,PRICE_ALERT,3,2020-01-01 00:05:00,2020-01-01 00:05:23
6,1,IMPORT_CAPACITY,3,2020-01-01 00:05:00,2020-01-01 00:05:23
7,1,EXPORT_CAPACITY,3,2020-01-01 00:05:00,2020-01-01 00:05:23
8,1,RESOURCE_DEPLETION,3,2020-01-01 00:05:00,2020-01-01 00:05:23
9,1,TELECOMM_ALERT,3,2020-01-01 00:05:00,2020-01-01 00:05:23
10,1,PEAK_EVENT,3,2020-01-01 00:05:00,2020-01-01 00:05:23