transformer_interval_id,transformer_id,import_capacity,export_capacity,q,unresp_load,start_time,end_time
1,1,951.701,475.851,0,0,2021-09-22 00:00:00,2021-09-22 00:05:00
2,1,984.151,492.075,4.015,4.015,2021-09-22 00:05:00,2021-09-22 00:10:00
3,1,919.672,459.836,3.912,3.912,2021-09-22 00:10:00,2021-09-22 00:15:00
4,1,928.804,464.402,3.912,3.912,2021-09-22 00:15:00,2021-09-22 00:20:00
5,1,1090.37,545.186,3.912,3.912,2021-09-22 00:20:00,2021-09-22 00:25:00
6,1,926.243,463.122,3.912,3.912,2021-09-22 00:25:00,2021-09-22 00:30:00
7,1,1051.08,525.541,3.912,3.912,2021-09-22 00:30:00,2021-09-22 00:35:00
8,1,1068.8,534.4,3.912,3.912,2021-09-22 00:35:00,2021-09-22 00:40:00
9,1,1069.16,534.579,3.912,3.912,2021-09-22 00:40:00,2021-09-22 00:45:00
10,1,1075.39,537.693,3.912,3.912,2021-09-22 00:45:00,2021-09-22 00:50:00
11,1,987.518,493.759,3.912,3.912,2021-09-22 00:50:00,2021-09-22 00:55:00
12,1,1086.74,543.369,3.912,3.912,2021-09-22 00:55:00,2021-09-22 01:00:00
13,1,1009.96,504.98,3.912,3.912,2021-09-22 01:00:00,2021-09-22 01:05:00
14,1,1022.11,511.057,3.715,3.715,2021-09-22 01:05:00,2021-09-22 01:10:00
15,1,977.954,488.977,3.715,3.715,2021-09-22 01:10:00,2021-09-22 01:15:00
16,1,995.101,497.551,3.715,3.715,2021-09-22 01:15:00,2021-09-22 01:20:00
17,1,909.379,454.689,3.715,3.715,2021-09-22 01:20:00,2021-09-22 01:25:00
18,1,936.965,468.483,3.715,3.715,2021-09-22 01:25:00,2021-09-22 01:30:00
19,1,1002.07,501.036,3.715,3.715,2021-09-22 01:30:00,2021-09-22 01:35:00
20,1,1080.1,540.048,3.715,3.715,2021-09-22 01:35:00,2021-09-22 01:40:00
21,1,979.212,489.606,3.715,3.715,2021-09-22 01:40:00,2021-09-22 01:45:00
22,1,941.581,470.791,3.715,3.715,2021-09-22 01:45:00,2021-09-22 01:50:00
23,1,1013.58,506.789,3.715,3.715,2021-09-22 01:50:00,2021-09-22 01:55:00
24,1,956.191,478.096,3.715,3.715,2021-09-22 01:55:00,2021-09-22 02:00:00
25,1,949.675,474.837,3.715,3.715,2021-09-22 02:00:00,2021-09-22 02:05:00
26,1,984.067,492.034,3.602,3.602,2021-09-22 02:05:00,2021-09-22 02:10:00
27,1,1058.3,529.15,3.602,3.602,2021-09-22 02:10:00,2021-09-22 02:15:00
28,1,948.989,474.494,3.602,3.602,2021-09-22 02:15:00,2021-09-22 02:20:00
29,1,1046.02,523.011,3.602,3.602,2021-09-22 02:20:00,2021-09-22 02:25:00
30,1,990.45,495.225,3.602,3.602,2021-09-22 02:25:00,2021-09-22 02:30:00
31,1,954.554,477.277,3.602,3.602,2021-09-22 02:30:00,2021-09-22 02:35:00
32,1,926.343,463.172,3.602,3.602,2021-09-22 02:35:00,2021-09-22 02:40:00
33,1,1014.6,507.298,3.602,3.602,2021-09-22 02:40:00,2021-09-22 02:45:00
34,1,1099.95,549.976,3.602,3.602,2021-09-22 02:45:00,2021-09-22 02:50:00
35,1,916.893,458.446,3.602,3.602,2021-09-22 02:50:00,2021-09-22 02:55:00
36,1,920.902,460.451,3.602,3.602,2021-09-22 02:55:00,2021-09-22 03:00:00
37,1,911.574,455.787,3.602,3.602,2021-09-22 03:00:00,2021-09-22 03:05:00
38,1,1036.34,518.168,3.578,3.578,2021-09-22 03:05:00,2021-09-22 03:10:00
39,1,1048.67,524.334,3.578,3.578,2021-09-22 03:10:00,2021-09-22 03:15:00
40,1,959.581,479.79,3.578,3.578,2021-09-22 03:15:00,2021-09-22 03:20:00
41,1,1002.62,501.31,3.578,3.578,2021-09-22 03:20:00,2021-09-22 03:25:00
42,1,1074.41,537.204,3.578,3.578,2021-09-22 03:25:00,2021-09-22 03:30:00
43,1,1078.71,539.356,3.578,3.578,2021-09-22 03:30:00,2021-09-22 03:35:00
44,1,915.854,457.927,3.578,3.578,2021-09-22 03:35:00,2021-09-22 03:40:00
45,1,1053.44,526.718,3.578,3.578,2021-09-22 03:40:00,2021-09-22 03:45:00
46,1,991.578,495.789,3.578,3.578,2021-09-22 03:45:00,2021-09-22 03:50:00
47,1,925.181,462.59,3.578,3.578,2021-09-22 03:50:00,2021-09-22 03:55:00
48,1,974.616,487.308,3.578,3.578,2021-09-22 03:55:00,2021-09-22 04:00:00
49,1,1000.34,500.169,3.578,3.578,2021-09-22 04:00:00,2021-09-22 04:05:00
50,1,1033.46,516.73,3.576,3.576,2021-09-22 04:05:00,2021-09-22 04:10:00
51,1,972.688,486.344,3.576,3.576,2021-09-22 04:10:00,2021-09-22 04:15:00
52,1,922.466,461.233,3.576,3.576,2021-09-22 04:15:00,2021-09-22 04:20:00
53,1,976.534,488.267,3.576,3.576,2021-09-22 04:20:00,2021-09-22 04:25:00
54,1,996.434,498.217,3.576,3.576,2021-09-22 04:25:00,2021-09-22 04:30:00
55,1,1062.71,531.353,3.576,3.576,2021-09-22 04:30:00,2021-09-22 04:35:00
56,1,1025.9,512.948,3.576,3.576,2021-09-22 04:35:00,2021-09-22 04:40:00
57,1,912.496,456.248,3.576,3.576,2021-09-22 04:40:00,2021-09-22 04:45:00
58,1,965.784,482.892,3.576,3.576,2021-09-22 04:45:00,2021-09-22 04:50:00
59,1,1078.92,539.462,3.576,3.576,2021-09-22 04:50:00,2021-09-22 04:55:00
60,1,1019.09,509.545,3.576,3.576,2021-09-22 04:55:00,2021-09-22 05:00:00
61,1,958.291,479.146,3.576,3.576,2021-09-22 05:00:00,2021-09-22 05:05:00
62,1,992.973,496.487,3.715,3.715,2021-09-22 05:05:00,2021-09-22 05:10:00
63,1,951.924,475.962,3.715,3.715,2021-09-22 05:10:00,2021-09-22 05:15:00
64,1,1097.18,548.59,3.715,3.715,2021-09-22 05:15:00,2021-09-22 05:20:00
65,1,910.025,455.013,3.715,3.715,2021-09-22 05:20:00,2021-09-22 05:25:00
66,1,969.189,484.594,3.715,3.715,2021-09-22 05:25:00,2021-09-22 05:30:00
67,1,1003.34,501.671,3.715,3.715,2021-09-22 05:30:00,2021-09-22 05:35:00
68,1,998.061,499.03,3.715,3.715,2021-09-22 05:35:00,2021-09-22 05:40:00
69,1,1038.99,519.497,3.715,3.715,2021-09-22 05:40:00,2021-09-22 05:45:00
70,1,1013.75,506.875,3.715,3.715,2021-09-22 05:45:00,2021-09-22 05:50:00
71,1,1019.57,509.787,3.715,3.715,2021-09-22 05:50:00,2021-09-22 05:55:00
72,1,1000.64,500.318,3.715,3.715,2021-09-22 05:55:00,2021-09-22 06:00:00
73,1,983.062,491.531,3.715,3.715,2021-09-22 06:00:00,2021-09-22 06:05:00
74,1,914.13,457.065,4.031,4.031,2021-09-22 06:05:00,2021-09-22 06:10:00
75,1,998.051,499.025,4.031,4.031,2021-09-22 06:10:00,2021-09-22 06:15:00
76,1,908.941,454.47,4.031,4.031,2021-09-22 06:15:00,2021-09-22 06:20:00
77,1,1013.63,506.817,4.031,4.03113,2021-09-22 06:20:00,2021-09-22 06:25:00
78,1,933.547,466.773,4.03,4.03067,2021-09-22 06:25:00,2021-09-22 06:30:00
79,1,1052.94,526.471,4.028,4.02965,2021-09-22 06:30:00,2021-09-22 06:35:00
80,1,1097.48,548.739,4.026,4.0292,2021-09-22 06:35:00,2021-09-22 06:40:00
81,1,1072.75,536.377,4.023,4.02843,2021-09-22 06:40:00,2021-09-22 06:45:00
82,1,1045.53,522.765,4.001,4.00946,2021-09-22 06:45:00,2021-09-22 06:50:00
83,1,954.049,477.024,3.964,3.99643,2021-09-22 06:50:00,2021-09-22 06:55:00
84,1,930.544,465.272,3.918,3.98946,2021-09-22 06:55:00,2021-09-22 07:00:00
85,1,964.538,482.269,3.867,3.9864,2021-09-22 07:00:00,2021-09-22 07:05:00
86,1,914.16,457.08,3.988,4.16135,2021-09-22 07:05:00,2021-09-22 07:10:00
87,1,949.286,474.643,3.877,4.15777,2021-09-22 07:10:00,2021-09-22 07:15:00
88,1,990.983,495.491,3.769,4.16655,2021-09-22 07:15:00,2021-09-22 07:20:00
89,1,1026.1,513.051,3.664,4.17512,2021-09-22 07:20:00,2021-09-22 07:25:00
90,1,986.359,493.18,3.563,4.18447,2021-09-22 07:25:00,2021-09-22 07:30:00
91,1,955.156,477.578,3.464,4.19247,2021-09-22 07:30:00,2021-09-22 07:35:00
92,1,929.867,464.933,3.369,4.201,2021-09-22 07:35:00,2021-09-22 07:40:00
93,1,1047.09,523.544,3.278,4.20987,2021-09-22 07:40:00,2021-09-22 07:45:00
94,1,1037.35,518.677,3.191,4.21892,2021-09-22 07:45:00,2021-09-22 07:50:00
95,1,939.395,469.698,3.107,4.22695,2021-09-22 07:50:00,2021-09-22 07:55:00
96,1,926.201,463.1,3.028,4.23578,2021-09-22 07:55:00,2021-09-22 08:00:00
97,1,1067.35,533.677,2.953,4.24422,2021-09-22 08:00:00,2021-09-22 08:05:00
98,1,1045.04,522.522,2.962,4.33207,2021-09-22 08:05:00,2021-09-22 08:10:00
99,1,1034.53,517.265,2.89,4.30749,2021-09-22 08:10:00,2021-09-22 08:15:00
100,1,914.935,457.467,2.849,4.34264,2021-09-22 08:15:00,2021-09-22 08:20:00
101,1,951.072,475.536,2.809,4.34522,2021-09-22 08:20:00,2021-09-22 08:25:00
102,1,956.062,478.031,2.767,4.34606,2021-09-22 08:25:00,2021-09-22 08:30:00
103,1,1043.97,521.986,2.726,4.34837,2021-09-22 08:30:00,2021-09-22 08:35:00
104,1,955.909,477.954,2.683,4.34937,2021-09-22 08:35:00,2021-09-22 08:40:00
105,1,917.464,458.732,2.639,4.35027,2021-09-22 08:40:00,2021-09-22 08:45:00
106,1,1095.13,547.567,2.594,4.35127,2021-09-22 08:45:00,2021-09-22 08:50:00
107,1,1024.82,512.409,2.548,4.35256,2021-09-22 08:50:00,2021-09-22 08:55:00
108,1,955.667,477.833,2.5,4.35334,2021-09-22 08:55:00,2021-09-22 09:00:00
109,1,1049.05,524.523,2.45,4.35403,2021-09-22 09:00:00,2021-09-22 09:05:00
110,1,1056.82,528.409,5.13,7.08607,2021-09-22 09:05:00,2021-09-22 09:10:00
111,1,917.759,458.879,2.282,4.33319,2021-09-22 09:10:00,2021-09-22 09:15:00
112,1,984.038,492.019,2.193,4.34442,2021-09-22 09:15:00,2021-09-22 09:20:00
113,1,1079.95,539.975,7.53,9.77587,2021-09-22 09:20:00,2021-09-22 09:25:00
114,1,1068.21,534.103,4.729,7.06354,2021-09-22 09:25:00,2021-09-22 09:30:00
115,1,1076.83,538.415,1.959,4.37558,2021-09-22 09:30:00,2021-09-22 09:35:00
116,1,1069.41,534.707,4.569,7.06066,2021-09-22 09:35:00,2021-09-22 09:40:00
117,1,938.481,469.241,1.835,4.39555,2021-09-22 09:40:00,2021-09-22 09:45:00
118,1,958.739,479.37,4.439,7.06141,2021-09-22 09:45:00,2021-09-22 09:50:00
119,1,970.421,485.21,4.385,7.06178,2021-09-22 09:50:00,2021-09-22 09:55:00
120,1,1041.07,520.533,6.976,9.70016,2021-09-22 09:55:00,2021-09-22 10:00:00
121,1,901.103,450.552,4.3,7.06435,2021-09-22 10:00:00,2021-09-22 10:05:00
122,1,1012.26,506.128,4.32,7.11637,2021-09-22 10:05:00,2021-09-22 10:10:00
123,1,906.145,453.073,4.35,7.12302,2021-09-22 10:10:00,2021-09-22 10:15:00
124,1,1079.97,539.985,7.001,9.73984,2021-09-22 10:15:00,2021-09-22 10:20:00
125,1,936.167,468.084,7.025,9.73165,2021-09-22 10:20:00,2021-09-22 10:25:00
126,1,1001.4,500.702,4.428,7.10483,2021-09-22 10:25:00,2021-09-22 10:30:00
127,1,926.794,463.397,4.363,7.01257,2021-09-22 10:30:00,2021-09-22 10:35:00
128,1,974.799,487.4,4.379,7.09481,2021-09-22 10:35:00,2021-09-22 10:40:00
129,1,1038.72,519.358,7.005,9.70144,2021-09-22 10:40:00,2021-09-22 10:45:00
130,1,958.283,479.142,4.404,7.08392,2021-09-22 10:45:00,2021-09-22 10:50:00
131,1,940.745,470.372,6.918,9.58446,2021-09-22 10:50:00,2021-09-22 10:55:00
132,1,962.571,481.285,6.918,9.681,2021-09-22 10:55:00,2021-09-22 11:00:00
133,1,1044.94,522.468,1.707,4.46542,2021-09-22 11:00:00,2021-09-22 11:05:00
134,1,955.231,477.616,4.305,7.06217,2021-09-22 11:05:00,2021-09-22 11:10:00
135,1,1009.92,504.959,4.276,7.0579,2021-09-22 11:10:00,2021-09-22 11:15:00
136,1,926.823,463.411,1.647,4.45835,2021-09-22 11:15:00,2021-09-22 11:20:00
137,1,923.434,461.717,6.822,9.66136,2021-09-22 11:20:00,2021-09-22 11:25:00
138,1,1077.3,538.65,4.196,7.06205,2021-09-22 11:25:00,2021-09-22 11:30:00
139,1,1010.73,505.365,4.172,7.06333,2021-09-22 11:30:00,2021-09-22 11:35:00
140,1,978.992,489.496,4.149,7.06422,2021-09-22 11:35:00,2021-09-22 11:40:00
141,1,993.098,496.549,4.126,7.06368,2021-09-22 11:40:00,2021-09-22 11:45:00
142,1,1024.03,512.017,4.105,7.06391,2021-09-22 11:45:00,2021-09-22 11:50:00
143,1,934.451,467.225,1.497,4.47569,2021-09-22 11:50:00,2021-09-22 11:55:00
144,1,1043.4,521.702,1.481,4.47812,2021-09-22 11:55:00,2021-09-22 12:00:00
145,1,979.859,489.93,6.631,9.64519,2021-09-22 12:00:00,2021-09-22 12:05:00
146,1,1015.58,507.788,1.487,4.5169,2021-09-22 12:05:00,2021-09-22 12:10:00
147,1,1042.37,521.183,0.04,3.08498,2021-09-22 12:10:00,2021-09-22 12:15:00
148,1,1030.87,515.434,4.024,7.08274,2021-09-22 12:15:00,2021-09-22 12:20:00
149,1,924.322,462.161,1.452,4.523,2021-09-22 12:20:00,2021-09-22 12:25:00
150,1,1093.57,546.787,6.545,9.62655,2021-09-22 12:25:00,2021-09-22 12:30:00
151,1,1011.66,505.828,3.982,7.07298,2021-09-22 12:30:00,2021-09-22 12:35:00
152,1,912.331,456.165,6.514,9.61267,2021-09-22 12:35:00,2021-09-22 12:40:00
153,1,1041.91,520.957,3.964,7.06881,2021-09-22 12:40:00,2021-09-22 12:45:00
154,1,910.094,455.047,6.493,9.60249,2021-09-22 12:45:00,2021-09-22 12:50:00
155,1,1084.98,542.492,1.421,4.5336,2021-09-22 12:50:00,2021-09-22 12:55:00
156,1,1042.83,521.415,6.482,9.59617,2021-09-22 12:55:00,2021-09-22 13:00:00
157,1,1054.63,527.316,3.951,7.06521,2021-09-22 13:00:00,2021-09-22 13:05:00
158,1,920.38,460.19,1.363,4.47565,2021-09-22 13:05:00,2021-09-22 13:10:00
159,1,951.833,475.916,6.437,9.54528,2021-09-22 13:10:00,2021-09-22 13:15:00
160,1,1008.42,504.208,1.375,4.4772,2021-09-22 13:15:00,2021-09-22 13:20:00
161,1,944.794,472.397,6.464,9.55897,2021-09-22 13:20:00,2021-09-22 13:25:00
162,1,973.486,486.743,1.393,4.47937,2021-09-22 13:25:00,2021-09-22 13:30:00
163,1,1020.5,510.248,3.948,7.02472,2021-09-22 13:30:00,2021-09-22 13:35:00
164,1,926.229,463.115,6.509,9.57473,2021-09-22 13:35:00,2021-09-22 13:40:00
165,1,925.96,462.98,1.427,4.48037,2021-09-22 13:40:00,2021-09-22 13:45:00
166,1,1045.87,522.936,3.992,7.03203,2021-09-22 13:45:00,2021-09-22 13:50:00
167,1,1006.14,503.069,9.115,12.1403,2021-09-22 13:50:00,2021-09-22 13:55:00
168,1,1013.74,506.869,4.027,7.03618,2021-09-22 13:55:00,2021-09-22 14:00:00
169,1,1009.03,504.514,6.601,9.59293,2021-09-22 14:00:00,2021-09-22 14:05:00
170,1,1072.38,536.192,1.501,4.47453,2021-09-22 14:05:00,2021-09-22 14:10:00
171,1,1051.25,525.627,1.522,4.47514,2021-09-22 14:10:00,2021-09-22 14:15:00
172,1,1009.56,504.781,4.108,7.03921,2021-09-22 14:15:00,2021-09-22 14:20:00
173,1,1043.33,521.667,1.567,4.47553,2021-09-22 14:20:00,2021-09-22 14:25:00
174,1,1098.86,549.431,9.293,12.1773,2021-09-22 14:25:00,2021-09-22 14:30:00
175,1,966.138,483.069,6.752,9.61083,2021-09-22 14:30:00,2021-09-22 14:35:00
176,1,932.767,466.384,4.21,7.04222,2021-09-22 14:35:00,2021-09-22 14:40:00
177,1,913.357,456.679,4.237,7.04162,2021-09-22 14:40:00,2021-09-22 14:45:00
178,1,1060.31,530.154,4.264,7.03944,2021-09-22 14:45:00,2021-09-22 14:50:00
179,1,1017.01,508.506,4.292,7.03713,2021-09-22 14:50:00,2021-09-22 14:55:00
180,1,1067.81,533.903,4.32,7.03381,2021-09-22 14:55:00,2021-09-22 15:00:00
181,1,1069.41,534.706,4.349,7.02978,2021-09-22 15:00:00,2021-09-22 15:05:00
182,1,1025.61,512.805,4.434,7.08063,2021-09-22 15:05:00,2021-09-22 15:10:00
183,1,1059.24,529.622,4.456,7.06782,2021-09-22 15:10:00,2021-09-22 15:15:00
184,1,1058.97,529.484,4.482,7.05808,2021-09-22 15:15:00,2021-09-22 15:20:00
185,1,1058.79,529.396,1.995,4.53301,2021-09-22 15:20:00,2021-09-22 15:25:00
186,1,1003.3,501.65,2.033,4.53209,2021-09-22 15:25:00,2021-09-22 15:30:00
187,1,1003.36,501.681,4.568,7.02697,2021-09-22 15:30:00,2021-09-22 15:35:00
188,1,1086.51,543.255,2.114,4.53095,2021-09-22 15:35:00,2021-09-22 15:40:00
189,1,969.239,484.62,7.117,9.49043,2021-09-22 15:40:00,2021-09-22 15:45:00
190,1,1096,547.999,2.202,4.52987,2021-09-22 15:45:00,2021-09-22 15:50:00
191,1,1028.05,514.027,4.714,6.99547,2021-09-22 15:50:00,2021-09-22 15:55:00
192,1,1037.12,518.56,4.755,6.98874,2021-09-22 15:55:00,2021-09-22 16:00:00
193,1,919.942,459.971,2.342,4.52635,2021-09-22 16:00:00,2021-09-22 16:05:00
194,1,934.031,467.015,2.599,4.73231,2021-09-22 16:05:00,2021-09-22 16:10:00
195,1,1061.38,530.69,2.658,4.73133,2021-09-22 16:10:00,2021-09-22 16:15:00
196,1,1038.97,519.485,2.716,4.7271,2021-09-22 16:15:00,2021-09-22 16:20:00
197,1,916.198,458.099,2.774,4.72395,2021-09-22 16:20:00,2021-09-22 16:25:00
198,1,1046.98,523.489,2.833,4.72152,2021-09-22 16:25:00,2021-09-22 16:30:00
199,1,1008.72,504.361,2.891,4.71824,2021-09-22 16:30:00,2021-09-22 16:35:00
200,1,914.84,457.42,5.411,7.17705,2021-09-22 16:35:00,2021-09-22 16:40:00
201,1,1087.16,543.58,3.007,4.71192,2021-09-22 16:40:00,2021-09-22 16:45:00
202,1,967.106,483.553,7.986,9.62977,2021-09-22 16:45:00,2021-09-22 16:50:00
203,1,1064.52,532.259,3.123,4.70552,2021-09-22 16:50:00,2021-09-22 16:55:00
204,1,987.162,493.581,3.182,4.70309,2021-09-22 16:55:00,2021-09-22 17:00:00
205,1,1018.97,509.486,3.241,4.70034,2021-09-22 17:00:00,2021-09-22 17:05:00
206,1,976.114,488.057,6.097,7.4941,2021-09-22 17:05:00,2021-09-22 17:10:00
207,1,953.385,476.692,3.697,5.04005,2021-09-22 17:10:00,2021-09-22 17:15:00
208,1,908.982,454.491,3.753,5.04126,2021-09-22 17:15:00,2021-09-22 17:20:00
209,1,957.757,478.878,3.812,5.04196,2021-09-22 17:20:00,2021-09-22 17:25:00
210,1,1089.33,544.665,3.876,5.04361,2021-09-22 17:25:00,2021-09-22 17:30:00
211,1,985.447,492.723,3.945,5.0454,2021-09-22 17:30:00,2021-09-22 17:35:00
212,1,1059.35,529.674,4.044,5.07109,2021-09-22 17:35:00,2021-09-22 17:40:00
213,1,1012.26,506.129,4.168,5.09144,2021-09-22 17:40:00,2021-09-22 17:45:00
214,1,1090.03,545.015,4.324,5.1163,2021-09-22 17:45:00,2021-09-22 17:50:00
215,1,960.031,480.015,4.528,5.15658,2021-09-22 17:50:00,2021-09-22 17:55:00
216,1,972.807,486.403,4.802,5.21586,2021-09-22 17:55:00,2021-09-22 18:00:00
217,1,917.777,458.889,4.093,4.21813,2021-09-22 18:00:00,2021-09-22 18:05:00
218,1,936.389,468.194,4.327,5.19917,2021-09-22 18:05:00,2021-09-22 18:10:00
219,1,1003.75,501.876,4.412,5.19709,2021-09-22 18:10:00,2021-09-22 18:15:00
220,1,1073.93,536.966,4.493,5.1886,2021-09-22 18:15:00,2021-09-22 18:20:00
221,1,901.195,450.598,4.569,5.17989,2021-09-22 18:20:00,2021-09-22 18:25:00
222,1,1092.86,546.43,4.64,5.17102,2021-09-22 18:25:00,2021-09-22 18:30:00
223,1,1048.21,524.103,4.707,5.16302,2021-09-22 18:30:00,2021-09-22 18:35:00
224,1,1095.84,547.921,4.768,5.15393,2021-09-22 18:35:00,2021-09-22 18:40:00
225,1,1068.88,534.442,4.826,5.1468,2021-09-22 18:40:00,2021-09-22 18:45:00
226,1,948.905,474.453,4.878,5.13873,2021-09-22 18:45:00,2021-09-22 18:50:00
227,1,984.177,492.088,4.925,5.13066,2021-09-22 18:50:00,2021-09-22 18:55:00
228,1,909.591,454.795,4.968,5.12361,2021-09-22 18:55:00,2021-09-22 19:00:00
229,1,945.088,472.544,5.006,5.11661,2021-09-22 19:00:00,2021-09-22 19:05:00
230,1,1085.21,542.604,4.991,5.06169,2021-09-22 19:05:00,2021-09-22 19:10:00
231,1,1073.08,536.541,4.998,5.05515,2021-09-22 19:10:00,2021-09-22 19:15:00
232,1,1010.16,505.078,5.004,5.05382,2021-09-22 19:15:00,2021-09-22 19:20:00
233,1,1075.37,537.685,5.01,5.05293,2021-09-22 19:20:00,2021-09-22 19:25:00
234,1,900.597,450.299,5.016,5.05248,2021-09-22 19:25:00,2021-09-22 19:30:00
235,1,1011.98,505.991,5.021,5.05145,2021-09-22 19:30:00,2021-09-22 19:35:00
236,1,1037.39,518.693,5.026,5.05087,2021-09-22 19:35:00,2021-09-22 19:40:00
237,1,917.123,458.562,5.031,5.05072,2021-09-22 19:40:00,2021-09-22 19:45:00
238,1,1001.64,500.82,5.035,5.05,2021-09-22 19:45:00,2021-09-22 19:50:00
239,1,1090.04,545.021,5.038,5.04873,2021-09-22 19:50:00,2021-09-22 19:55:00
240,1,1078.36,539.182,5.042,5.04889,2021-09-22 19:55:00,2021-09-22 20:00:00
241,1,971.098,485.549,5.044,5.04749,2021-09-22 20:00:00,2021-09-22 20:05:00
242,1,1072.83,536.414,5.238,5.23854,2021-09-22 20:05:00,2021-09-22 20:10:00
243,1,969.147,484.573,5.238,5.238,2021-09-22 20:10:00,2021-09-22 20:15:00
244,1,1058.61,529.303,5.238,5.238,2021-09-22 20:15:00,2021-09-22 20:20:00
245,1,995.173,497.586,5.238,5.238,2021-09-22 20:20:00,2021-09-22 20:25:00
246,1,1088.44,544.222,5.238,5.238,2021-09-22 20:25:00,2021-09-22 20:30:00
247,1,1063.77,531.887,5.238,5.238,2021-09-22 20:30:00,2021-09-22 20:35:00
248,1,1096.53,548.263,5.238,5.238,2021-09-22 20:35:00,2021-09-22 20:40:00
249,1,1056.22,528.112,5.238,5.238,2021-09-22 20:40:00,2021-09-22 20:45:00
250,1,1050.24,525.119,5.238,5.238,2021-09-22 20:45:00,2021-09-22 20:50:00
251,1,1060.49,530.247,5.238,5.238,2021-09-22 20:50:00,2021-09-22 20:55:00
252,1,946.81,473.405,5.238,5.238,2021-09-22 20:55:00,2021-09-22 21:00:00
253,1,988.372,494.186,5.238,-9999.9,2021-09-22 21:00:00,2021-09-22 21:05:00
254,1,981.717,490.858,5.518,-5994.48,2021-09-22 21:05:00,2021-09-22 21:10:00
255,1,998.408,499.204,5.518,5.518,2021-09-22 21:10:00,2021-09-22 21:15:00
256,1,1049.12,524.558,5.518,5.518,2021-09-22 21:15:00,2021-09-22 21:20:00
257,1,1095.02,547.509,5.518,5.518,2021-09-22 21:20:00,2021-09-22 21:25:00
258,1,1078.05,539.025,5.518,5.518,2021-09-22 21:25:00,2021-09-22 21:30:00
259,1,933.603,466.802,5.518,-9999.9,2021-09-22 21:30:00,2021-09-22 21:35:00
260,1,944.903,472.451,5.518,-5994.48,2021-09-22 21:35:00,2021-09-22 21:40:00
261,1,901.508,450.754,5.518,5.518,2021-09-22 21:40:00,2021-09-22 21:45:00
262,1,986.557,493.279,5.518,5.518,2021-09-22 21:45:00,2021-09-22 21:50:00
263,1,1028.53,514.266,5.518,5.518,2021-09-22 21:50:00,2021-09-22 21:55:00
264,1,960.145,480.072,5.518,5.518,2021-09-22 21:55:00,2021-09-22 22:00:00
265,1,1015.83,507.913,5.193,-994.807,2021-09-22 22:05:00,2021-09-22 22:10:00
266,1,1007.42,503.71,5.193,5.193,2021-09-22 22:10:00,2021-09-22 22:15:00
267,1,995.391,497.696,5.193,5.193,2021-09-22 22:15:00,2021-09-22 22:20:00
268,1,1080.83,540.416,5.193,5.193,2021-09-22 22:20:00,2021-09-22 22:25:00
269,1,988.184,494.092,5.193,5.193,2021-09-22 22:25:00,2021-09-22 22:30:00
270,1,931.136,465.568,5.193,-9999.9,2021-09-22 22:30:00,2021-09-22 22:35:00
271,1,1028.63,514.317,5.193,-994.807,2021-09-22 22:40:00,2021-09-22 22:45:00
272,1,947.132,473.566,5.193,5.193,2021-09-22 22:45:00,2021-09-22 22:50:00
273,1,1087.33,543.666,5.193,5.193,2021-09-22 22:50:00,2021-09-22 22:55:00
274,1,1090.64,545.319,5.193,-3994.81,2021-09-22 22:55:00,2021-09-22 23:00:00
275,1,1004.48,502.238,5.193,5.193,2021-09-22 23:00:00,2021-09-22 23:05:00
276,1,968.787,484.394,4.434,4.434,2021-09-22 23:05:00,2021-09-22 23:10:00
277,1,1051.83,525.916,4.434,4.434,2021-09-22 23:10:00,2021-09-22 23:15:00
278,1,908.65,454.325,4.434,4.434,2021-09-22 23:15:00,2021-09-22 23:20:00
279,1,1066.36,533.18,4.434,4.434,2021-09-22 23:20:00,2021-09-22 23:25:00
280,1,979.224,489.612,4.434,4.434,2021-09-22 23:25:00,2021-09-22 23:30:00
281,1,1064.15,532.077,4.434,4.434,2021-09-22 23:30:00,2021-09-22 23:35:00
282,1,1040.27,520.133,4.434,4.434,2021-09-22 23:35:00,2021-09-22 23:40:00
283,1,957.365,478.683,4.434,-5995.57,2021-09-22 23:40:00,2021-09-22 23:45:00
284,1,1019.96,509.982,4.434,4.434,2021-09-22 23:45:00,2021-09-22 23:50:00
285,1,1054.67,527.335,4.434,4.434,2021-09-22 23:50:00,2021-09-22 23:55:00
286,1,1010.61,505.303,4.434,4.434,2021-09-22 23:55:00,2021-09-23 00:00:00
287,1,903.45,451.725,4.434,4.434,2021-09-23 00:00:00,2021-09-23 00:05:00